,Australian Government capital expenditure,Australian Government recurrent funding,Average ICSEA value,Boys,Completed senior secondary school,"Fees, charges and parent contributions",Full-time equivalent enrolments,Full-time equivalent non-teaching staff,Full-time equivalent teaching staff,Girls,Income allocated to current capital projects,Income allocated to debt servicing(including principal repayments and interest on loans),Income allocated to future capital projects and diocesan capital funds,Indigenous students,"Less
                                           
                            deductions",Location,Name,New school loans,Non-teaching staff,Other,Other private sources,SMCLID,School ICSEA value,School sector,School type,School-based apprenticeships and traineeships,Senior secondary certificate awarded,State/territory government capital expenditure,State/territory government recurrent funding,Subtotal,Teaching staff,Total capital expenditure,Total enrolments,"Total gross income
                            (excluding income from government capital grants)",Total net recurrent income,VET enrolments,Year,Year 3 | Grammar,Year 3 | Numeracy,Year 3 | Reading,Year 3 | Spelling,Year 3 | Writing,Year 5 | Grammar,Year 5 | Numeracy,Year 5 | Reading,Year 5 | Spelling,Year 5 | Writing,Year 7 | Grammar,Year 7 | Numeracy,Year 7 | Reading,Year 7 | Spelling,Year 7 | Writing,Year 9 | Grammar,Year 9 | Numeracy,Year 9 | Reading,Year 9 | Spelling,Year 9 | Writing,Year range
75,"4,500","2,628,158",1000,647,241,"1,650,247",1253.3,21.6,92.7,608,0,0,0,2%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,25,"177,241","1,226,166",90726,1065,Government,Secondary,25,218,"7,290,074","12,320,532",0,102,"7,471,815",1255,"17,825,103","17,825,103",189,2013,,,,,,,,,,,,,,,,607,618,597,599,578,"U, 8-12"
76,"25,500","1,790,145",1000,680,230,"1,491,434",1250.9,21.8,90.8,573,0,0,0,2%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,26,"102,531","933,005",90726,1049,Government,Secondary,34,196,"233,070","12,461,571",0,107,"361,101",1253,"16,676,155","16,676,155",139,2012,,,,,,,,,,,,,,,,600,613,590,596,603,"U, 8-12"
77,0,"2,308,149",1000,691,218,"1,473,570",1255.6,22.7,90.8,566,0,0,0,2%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,26,0,"990,874",90726,1051,Government,Secondary,10,209,"16,592","12,485,360",0,118,"16,592",1257,"17,257,953","17,257,953",276,2011,,,,,,,,,,,,,,,,611,616,605,611,614,"U, 8-12"
78,0,"2,334,437",1000,667,195,"1,435,297",1245,21.4,94.9,581,0,0,0,2%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,26,"52,962","980,588",90726,1052,Government,Secondary,,172,"42,983","10,952,428",0,122,"95,945",1248,"15,702,750","15,702,750",,2010,,,,,,,,,,,,,,,,615,620,602,615,604,"U, 8-12"
79,0,"2,014,627",1000,636,192,"1,275,923",1218.4,22.2,92.8,583,0,0,0,1%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,26,0,"1,029,841",90726,1022,Government,Secondary,,180,"29,048","11,406,639",0,115,"29,048",1219,"15,727,029","15,727,029",,2009,,,,,,,,,,,,,,,,604,627,603,606,603,"U, 8-12"
80,,,1000,645,,,1213.8,19.2,90.1,571,,,,1%,,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",,24,,,90726,1022,Government,Secondary,,,,,,97,,1216,,,,2008,,,,,,,,,,,,,,,,590,615,604,595,600,-
81,,,1000,103,,,198,5.2,12.4,95,,,,2%,,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",,8,,,90721,1003,Government,Primary,,,,,,15,,198,,,,2014,397,400,412,437,390,484,498,502,484,462,553,563,568,544,518,,,,,,R-7
82,0,"312,805",1000,99,,"83,145",194,5,10.4,95,0,0,0,2%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,7,0,"17,543",90721,998,Government,Primary,,,0,"1,732,589",0,12,0,194,"2,146,082","2,146,082",,2013,410,384,417,406,428,421,420,441,423,443,592,576,571,577,560,,,,,,R-7
83,"47,993","244,900",1000,100,,"96,943",192,4,11.8,92,0,0,0,1%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,7,"3,412","41,111",90721,1037,Government,Primary,,,0,"1,632,613",0,12,"51,405",192,"2,015,567","2,015,567",,2012,413,408,414,409,390,482,491,500,482,480,549,551,542,522,513,,,,,,R-7
84,0,"212,308",1000,96,,"71,683",182,3.5,10.8,86,0,0,0,1%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,7,"10,161","134,875",90721,1045,Government,Primary,,,0,"1,383,539",0,12,"10,161",182,"1,802,405","1,802,405",,2011,353,360,363,367,384,544,510,505,487,474,527,537,537,531,529,,,,,,R-7
85,"1,670,279","334,813",1000,96,,"72,282",175,2.8,11.7,79,0,0,750,1%,750,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,6,0,"118,541",90721,1052,Government,Primary,,,0,"1,461,593",750,13,"1,670,279",175,"1,987,229","1,986,479",,2010,423,404,424,389,429,493,478,484,469,459,560,571,575,530,534,,,,,,R-7
86,"236,429","292,988",1000,97,,"81,990",178,2.8,10.4,81,0,0,"3,162",1%,"3,162",Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,6,0,"102,996",90721,1047,Government,Primary,,,0,"1,322,378","3,162",12,"236,429",178,"1,800,352","1,797,189",,2009,455,410,432,431,444,477,458,477,451,474,532,577,556,533,562,,,,,,R-7
87,,,1000,92,,,180,3,10.4,88,,,,1%,,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",,8,,,90721,1047,Government,Primary,,,,,,12,,180,,,,2008,375,404,382,384,421,484,452,460,479,461,532,545,506,527,536,,,,,,-
88,,,1000,172,39,,312.2,16.5,20.6,142,,,,4%,,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",,21,,,90720,984,Government,Combined,,25,,,,21,,314,,,106,2014,379,367,425,370,431,468,440,461,459,449,524,512,551,540,523,541,544,545,555,496,R-12
89,0,"1,956,659",1000,194,41,"224,523",366,19.7,26.4,173,0,0,0,2%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,25,0,"644,129",90720,952,Government,Combined,4,27,"32,345","3,781,522",0,29,"32,345",367,"6,606,833","6,606,833",60,2013,340,326,331,358,351,464,449,458,448,448,486,520,492,505,482,541,540,543,544,482,R-12
90,"20,000","1,441,646",1000,181,34,"220,182",336.5,17.7,27.2,161,0,0,0,2%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,24,"26,068","408,619",90720,981,Government,Combined,4,17,0,"3,622,780",0,29,"46,068",342,"5,693,227","5,693,227",140,2012,352,363,369,385,367,480,453,478,480,451,558,535,548,554,550,535,538,549,554,513,R-12
91,"42,946","807,149",1000,188,38,"200,536",373.4,9.8,27.2,186,0,0,0,2%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,12,0,"271,282",90720,985,Government,Combined,1,25,0,"4,007,682",0,30,"42,946",374,"5,286,649","5,286,649",32,2011,354,338,309,336,347,468,505,443,431,441,520,543,536,528,526,558,558,557,552,530,R-12
92,"1,308,245","950,774",1000,211,29,"233,936",419.2,11,32.3,214,0,0,0,2%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,14,"10,038","80,834",90720,985,Government,Combined,,19,0,"4,094,552",0,35,"1,318,283",425,"5,360,096","5,360,096",,2010,390,365,397,374,398,458,459,440,459,445,500,539,536,539,559,551,548,552,566,523,R-12
93,"565,171","750,346",1000,223,36,"224,444",452,11.1,31.6,232,0,0,0,1%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,15,0,"107,196",90720,1031,Government,Combined,,31,0,"4,067,161",0,36,"565,171",455,"5,149,146","5,149,146",,2009,390,399,404,371,379,465,524,466,464,491,519,519,515,505,510,556,560,563,559,547,R-12
94,,,1000,261,,,505.9,13.1,33.4,247,,,,1%,,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",,19,,,90720,1031,Government,Combined,,,,,,37,,508,,,,2008,348,370,368,345,364,480,543,476,460,482,522,520,508,520,511,536,547,562,551,544,-
95,,,1000,79,6,,184.8,7.3,17.6,106,,,,6%,,Very Remote,"Lake Windemere B-7 School, Salisbury North, SA",,13,,,90723,1024,Government,Combined,1,6,,,,20,,185,,,11,2014,425,417,449,406,408,557,521,554,533,526,534,542,535,524,536,572,604,565,570,534,R-12
96,0,"484,829",1000,76,6,"65,467",177.8,7.9,16.5,105,0,0,0,6%,0,Very Remote,"Lake Windemere B-7 School, Salisbury North, SA",0,15,"29,517","182,815",90723,1021,Government,Combined,,6,0,"2,682,395",0,20,"29,517",181,"3,415,506","3,415,506",,2013,450,375,447,435,430,559,519,540,524,525,515,557,551,546,512,570,582,581,586,571,R-12
97,0,"366,149",1000,78,4,"68,205",181,7.1,17.6,104,0,0,0,5%,0,Very Remote,"Lake Windemere B-7 School, Salisbury North, SA",0,14,"15,948","93,608",90723,989,Government,Combined,2,4,0,"2,433,346",0,20,"15,948",182,"2,961,308","2,961,308",5,2012,456,414,462,446,428,516,481,509,493,513,545,550,532,553,522,540,586,566,563,565,R-12
98,"763,369","369,940",1000,73,5,"66,207",168,6.7,14.8,97,0,0,0,5%,0,Very Remote,"Lake Windemere B-7 School, Salisbury North, SA",0,11,0,"117,315",90723,999,Government,Combined,4,5,"5,245","2,467,510",0,16,"768,614",170,"3,020,972","3,020,972",4,2011,447,404,450,426,391,505,515,526,481,502,532,548,550,557,546,587,639,605,607,598,R-12
99,"865,798","462,386",1000,85,4,"60,129",175,7.2,16,91,0,0,0,3%,0,Very Remote,"Lake Windemere B-7 School, Salisbury North, SA",0,11,0,"63,730",90723,998,Government,Combined,,4,0,"2,166,330",0,18,"865,798",176,"2,752,575","2,752,575",,2010,335,339,350,347,405,488,479,440,483,449,553,576,535,546,546,583,599,570,561,595,R-12
100,"6,622","405,457",1000,81,1,"57,900",173.4,7.8,16.2,93,0,0,0,2%,0,Very Remote,"Lake Windemere B-7 School, Salisbury North, SA",0,12,"37,761","103,427",90723,1009,Government,Combined,,1,0,"2,163,530",0,17,"44,383",174,"2,730,315","2,730,315",,2009,392,376,396,388,396,476,470,473,483,476,551,572,549,548,552,568,594,575,559,560,R-12
101,,,1000,85,,,170.3,6.5,15.2,86,,,,2%,,Very Remote,"Lake Windemere B-7 School, Salisbury North, SA",,9,,,90723,1009,Government,Combined,,,,,,16,,171,,,,2008,407,400,403,404,431,516,507,500,489,485,562,584,566,550,567,577,611,591,580,599,-
102,,,1000,34,,,75,3.1,5.4,41,,,,3%,,Remote,"Lake Windemere B-7 School, Salisbury North, SA",,7,,,90722,1008,Government,Primary,,,,,,6,,75,,,,2014,415,398,393,402,393,468,462,511,482,465,-,-,-,-,-,,,,,,R-7
103,0,"176,906",1000,33,,"29,687",71,2.6,6.1,38,0,0,0,-,0,Remote,"Lake Windemere B-7 School, Salisbury North, SA",0,7,0,"28,435",90722,1019,Government,Primary,,,0,"887,198",0,7,0,71,"1,122,226","1,122,226",,2013,471,395,437,439,440,484,482,493,478,449,-,-,-,-,-,,,,,,R-7
104,"13,343","164,878",1000,30,,"14,941",65,2.5,5.7,35,0,0,0,0%,0,Remote,"Lake Windemere B-7 School, Salisbury North, SA",0,7,"1,443","15,943",90722,1035,Government,Primary,,,0,"841,934",0,7,"14,786",65,"1,037,696","1,037,696",,2012,420,359,415,370,395,-,-,-,-,-,-,-,-,-,-,,,,,,R-7
105,"194,951","166,823",1000,31,,"15,329",60,2.5,5.5,29,0,0,0,-,0,Remote,"Lake Windemere B-7 School, Salisbury North, SA",0,6,0,"16,448",90722,1031,Government,Primary,,,0,"797,932",0,6,"194,951",60,"996,532","996,532",,2011,385,401,386,396,425,456,437,479,450,466,,,,,,,,,,,R-7
106,"513,754","195,336",1000,38,,"24,064",71,2.6,5.5,33,0,0,0,-,0,Remote,"Lake Windemere B-7 School, Salisbury North, SA",0,7,"16,219","34,603",90722,1026,Government,Primary,,,0,"884,724",0,6,"529,973",71,"1,138,727","1,138,727",,2010,-,-,-,-,-,445,500,473,488,489,512,555,524,527,482,,,,,,R-7
107,"83,870","168,496",1000,37,,"22,079",72,2.8,6.1,35,0,0,0,1%,0,Remote,"Lake Windemere B-7 School, Salisbury North, SA",0,8,0,"22,326",90722,956,Government,Primary,,,0,"801,482",0,7,"83,870",72,"1,014,383","1,014,383",,2009,337,317,336,312,369,-,-,-,-,-,540,525,525,547,526,,,,,,R-7
108,,,1000,39,,,78,2.6,5.5,39,,,,4%,,Remote,"Lake Windemere B-7 School, Salisbury North, SA",,6,,,90722,956,Government,Primary,,,,,,6,,78,,,,2008,386,416,394,417,405,501,466,477,473,471,521,509,502,506,539,,,,,,-
109,,,1000,106,23,,230.2,7.2,18.2,125,,,,1%,,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",,9,,,90729,1028,Government,Combined,7,23,,,,22,,231,,,167,2014,434,432,424,385,406,453,477,507,470,416,589,565,586,570,538,614,618,618,612,595,R-12
110,"32,452","551,529",1000,100,29,"127,108",221.3,7.5,19.4,123,0,0,0,1%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,10,0,"68,213",90729,1011,Government,Combined,1,25,146,"2,905,581",0,23,"32,598",223,"3,652,431","3,652,431",28,2013,389,358,427,357,366,488,484,491,479,460,525,552,527,531,510,602,605,597,584,554,R-12
111,"790,175","478,404",1000,117,20,"139,539",240.8,8.5,18,125,0,0,0,1%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA","5,556",10,"2,858","51,260",90729,1013,Government,Combined,,17,"9,445","3,304,247",0,22,"808,034",242,"3,973,450","3,973,450",15,2012,426,400,443,418,398,532,520,536,517,485,552,566,549,524,506,578,578,573,572,539,R-12
112,"695,687","567,611",1000,109,17,"137,395",233.3,7.7,17.8,128,0,0,0,2%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA","149,000",9,"44,700","113,423",90729,1012,Government,Combined,2,16,"276,082","3,105,829",0,21,"1,165,469",237,"3,924,258","3,924,258",2,2011,408,416,444,392,396,467,474,457,450,457,550,560,549,536,536,561,575,573,552,526,R-12
113,"251,875","585,331",1000,111,22,"120,404",231.6,7.6,19.1,122,0,0,0,2%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,9,"406,512","58,536",90729,1013,Government,Combined,,22,"810,226","3,013,776",0,22,"1,468,613",233,"3,778,047","3,778,047",,2010,493,477,473,457,452,494,493,503,476,483,536,548,549,540,561,579,592,588,582,571,R-12
114,"4,509","469,173",1000,110,15,"157,042",225.2,7.9,18.2,119,0,0,0,1%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,10,0,"85,743",90729,1013,Government,Combined,,16,"104,007","2,625,018",0,22,"108,516",229,"3,336,975","3,336,975",,2009,454,435,419,434,413,506,484,509,449,428,511,530,511,517,526,588,593,579,542,575,R-12
115,,,1000,113,,,231.9,6.3,20.8,123,,,,1%,,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",,8,,,90729,1013,Government,Combined,,,,,,23,,236,,,,2008,439,445,405,400,408,517,518,491,503,515,543,544,520,546,544,549,568,585,562,551,-
116,,,1000,277,108,,534.7,13.4,36.8,266,,,,2%,,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",,16,,,90728,979,Government,Secondary,11,76,,,,38,,543,,,1190,2014,,,,,,,,,,,,,,,,537,554,550,542,514,8-12
117,0,"1,307,998",1000,306,98,"410,265",588,14.1,41,287,0,0,0,2%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,17,"6,546","81,720",90728,997,Government,Secondary,4,62,"115,550","6,186,512",0,42,"122,096",593,"7,986,495","7,986,495",89,2013,,,,,,,,,,,,,,,,572,572,578,566,547,8-12
118,"26,750","977,302",1000,302,104,"398,711",609.1,13.8,43.8,310,0,0,0,1%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,17,"26,338","151,461",90728,995,Government,Secondary,16,77,"1,591,696","6,364,476",0,45,"1,644,784",612,"7,891,950","7,891,950",389,2012,,,,,,,,,,,,,,,,557,558,563,551,523,8-12
119,"324,197","1,403,435",1000,332,82,"558,599",658.1,15.2,46.5,327,0,0,0,1%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,20,"26,448","63,768",90728,995,Government,Secondary,7,61,"1,594,584","6,491,857",0,49,"1,945,229",659,"8,517,659","8,517,659",152,2011,,,,,,,,,,,,,,,,550,542,556,557,500,8-12
120,0,"1,472,751",1000,327,93,"633,699",654.2,13.7,45.2,329,0,0,0,-,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,17,"49,392","168,177",90728,1000,Government,Secondary,,80,"451,881","5,758,246",0,46,"501,273",656,"8,032,873","8,032,873",,2010,,,,,,,,,,,,,,,,571,570,575,579,553,8-12
121,0,"1,093,842",1000,326,101,"392,261",654,11.2,47.8,328,0,0,0,-,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,12,"7,686","160,197",90728,1024,Government,Secondary,,89,"105,126","5,830,663",0,49,"112,812",654,"7,476,962","7,476,962",,2009,,,,,,,,,,,,,,,,559,561,571,555,573,8-12
122,,,1000,349,,,676.2,11.1,49.4,328,,,,-,,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",,13,,,90728,1024,Government,Secondary,,,,,,51,,677,,,,2008,,,,,,,,,,,,,,,,555,572,565,557,557,-
123,,,1000,240,,,485,5.8,23.7,245,,,,0%,,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",,7,,,90896,1074,Government,Primary,,,,,,26,,485,,,,2014,426,395,435,409,408,492,484,498,478,446,556,561,557,544,522,,,,,,R-7
124,0,"664,284",1000,245,,"331,319",492,5.9,25.6,247,0,0,0,0%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,7,0,"89,792",90896,1080,Government,Primary,,,0,"3,594,598",0,29,0,492,"4,679,993","4,679,993",,2013,452,391,435,420,434,506,488,498,489,466,562,558,586,563,554,,,,,,R-7
125,"8,000","529,652",1000,272,,"370,364",532,6.6,25.6,260,0,0,0,1%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,8,0,"59,166",90896,1072,Government,Primary,,,0,"3,592,776",0,27,"8,000",532,"4,551,958","4,551,958",,2012,417,399,430,402,426,494,483,486,487,463,559,539,555,552,539,,,,,,R-7
126,"213,960","565,084",1000,254,,"337,343",520,5.8,26.2,266,0,0,0,0%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,7,"23,029","94,960",90896,1075,Government,Primary,,,0,"3,831,077",0,28,"236,989",520,"4,828,464","4,828,464",,2011,434,402,424,421,418,498,488,497,487,477,542,553,554,542,553,,,,,,R-7
127,"2,585,897","558,621",1000,270,,"329,993",542,5.6,27.1,272,0,0,0,1%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,8,0,"80,498",90896,1078,Government,Primary,,,0,"3,367,847",0,30,"2,585,897",542,"4,336,959","4,336,959",,2010,416,397,433,404,432,539,511,509,507,513,558,547,565,545,561,,,,,,R-7
128,"11,116","709,502",1000,284,,"334,087",568,5.8,26.4,284,0,0,0,1%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,8,0,"90,558",90896,1115,Government,Primary,,,0,"3,564,771",0,28,"11,116",568,"4,698,919","4,698,919",,2009,438,400,438,414,434,511,486,504,496,500,563,552,562,543,554,,,,,,R-7
129,,,1000,285,,,562,5.8,27.6,277,,,,1%,,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",,9,,,90896,1115,Government,Primary,,,,,,30,,562,,,,2008,450,432,439,447,438,507,475,492,498,507,572,565,572,560,570,,,,,,-
130,,,1000,46,,,90,3.9,6,44,,,,4%,,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",,7,,,90629,987,Government,Primary,,,,,,7,,90,,,,2014,376,341,375,345,381,522,481,497,517,469,509,520,530,525,494,,,,,,R-7
131,0,"174,470",1000,50,,"36,711",112,3.3,8,62,0,0,0,7%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,6,0,"53,152",90629,977,Government,Primary,,,0,"998,378",0,9,0,112,"1,262,711","1,262,711",,2013,382,327,348,329,377,474,446,492,445,443,524,519,525,541,540,,,,,,R-7
132,0,"153,042",1000,55,,"39,638",112,3.2,6.8,57,0,0,0,5%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,5,"7,155","24,048",90629,993,Government,Primary,,,0,"948,390",0,7,"7,155",112,"1,165,118","1,165,118",,2012,411,394,436,407,427,429,459,449,461,454,547,575,555,540,556,,,,,,R-7
133,0,"172,423",1000,44,,"32,170",102,3.3,5.9,58,0,0,0,6%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,5,0,"44,272",90629,989,Government,Primary,,,0,"929,712",0,6,0,102,"1,178,577","1,178,577",,2011,415,387,435,387,414,490,471,469,463,475,513,511,534,523,534,,,,,,R-7
134,"671,293","244,119",1000,47,,"30,192",92,3.5,5.4,45,0,0,0,3%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,7,0,"17,991",90629,989,Government,Primary,,,0,"869,976",0,6,"671,293",92,"1,162,278","1,162,278",,2010,396,365,355,369,416,493,501,511,493,491,-,-,-,-,-,,,,,,R-7
135,"72,275","179,204",1000,50,,"27,076",92,2.1,5.4,42,0,0,0,5%,0,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",0,4,0,"37,951",90629,951,Government,Primary,,,0,"795,380",0,6,"72,275",92,"1,039,612","1,039,612",,2009,392,367,405,388,429,466,451,494,446,473,563,550,543,521,547,,,,,,R-7
136,,,1000,49,,,82,2.3,5.4,33,,,,5%,,Provincial,"Lake Windemere B-7 School, Salisbury North, SA",,4,,,90629,951,Government,Primary,,,,,,6,,82,,,,2008,432,420,439,406,428,478,459,482,436,478,504,519,512,524,482,,,,,,-
137,,,1000,185,,,339,8.4,18.5,154,,,,2%,,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",,11,,,90852,1044,Government,Primary,,,,,,22,,339,,,,2014,411,393,421,425,364,490,473,488,482,455,536,536,546,547,514,,,,,,R-7
138,0,"531,024",1000,191,,"149,874",361,5.9,18.4,170,0,0,0,1%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,10,0,"49,322",90852,1044,Government,Primary,,,0,"2,986,518",0,21,0,361,"3,716,738","3,716,738",,2013,414,386,414,399,388,481,454,479,467,446,552,554,556,558,552,,,,,,R-7
139,"70,468","453,488",1000,193,,"163,477",369,6.6,19,176,0,0,0,1%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,10,0,"37,962",90852,1035,Government,Primary,,,0,"3,142,877",0,23,"70,468",369,"3,797,804","3,797,804",,2012,381,365,386,393,382,457,459,462,475,450,533,517,528,529,509,,,,,,R-7
140,"73,127","549,340",1000,201,,"172,821",387,5.8,20.9,186,0,0,0,2%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,7,0,"62,391",90852,1041,Government,Primary,,,0,"3,098,998",0,24,"73,127",387,"3,883,550","3,883,550",,2011,387,366,389,397,402,489,481,493,483,480,542,567,547,546,542,,,,,,R-7
141,"2,213,573","613,167",1000,206,,"173,427",407,6.2,20.5,201,0,0,0,1%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,8,0,"66,318",90852,1046,Government,Primary,,,0,"3,177,067",0,23,"2,213,573",407,"4,029,979","4,029,979",,2010,402,377,396,394,403,476,448,446,461,480,543,566,557,553,524,,,,,,R-7
142,"496,443","576,708",1000,226,,"197,615",434.4,6.5,22.4,209,0,0,0,1%,0,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,9,0,"80,058",90852,1118,Government,Primary,,,0,"3,161,715",0,25,"496,443",435,"4,016,096","4,016,096",,2009,424,397,412,390,431,494,472,481,486,498,531,536,542,536,521,,,,,,R-7
143,,,1000,236,,,472.6,6.1,23.2,237,,,,1%,,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",,8,,,90852,1118,Government,Primary,,,,,,26,,473,,,,2008,389,373,375,378,399,498,464,471,479,464,554,560,538,552,547,,,,,,-
144,,,1000,212,,,378,9,20.4,166,,,,-,,Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",,14,,,91022,1060,Non-government,Primary,,,,,,25,,378,,,,2014,421,389,405,423,419,493,469,500,517,494,588,578,574,599,582,,,,,,R-7
145,0,"2,272,326",1000,210,,"951,633",384,7.2,20.4,174,0,"257,259",0,-,"257,259",Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA",0,12,"27,776","89,200",91022,1053,Non-government,Primary,,,0,"545,509","257,259",25,"27,776",384,"3,858,668","3,601,409",,2013,392,356,403,410,422,487,453,483,499,509,544,568,566,568,564,,,,,,"U, R-7"
146,0,"2,042,871",1000,199,,"868,404",364,7,18.9,165,0,"235,452",0,-,"235,452",Metropolitan,"Lake Windemere B-7 School, Salisbury North, SA","1,487",13,"33,676","59,433",91022,1055,Non-government,Primary,,,0,"521,788","235,452",23,"35,163",364,"3,492,496","3,257,044",,2012,425,394,418,437,431,515,496,515,514,526,540,522,528,545,519,,,,,,"U, R-7"
